.DRA,Scriptor Script File,doc
.CL2DOC,Comic Life 2 Document,doc
.FADEIN,Fade In Document,doc
.PM5,PageMaker 5.0 Document,doc
.MAX,OmniPage Scanned Document,doc
.PSG,Page Segment File,doc
.SPL7,sPlan 7 Schematic Diagram File,doc
.DTL,Now Contact Detail Template,doc
.ARTICLE,Twixl Publisher Article,doc
.PDER,ProntoDoc for Excel Conventional Document,doc
.RPC,Rich Page Content Document,doc
.LPDF,Localized PDF File,doc
.UXF,UML eXchange Format,doc
.OFD,OfficeForms Document,doc
.BOOK,FrameMaker Book File,doc
.MARS,Adobe MARS File,doc
.XSN,InfoPath Form Template File,doc
.PUBLICATION,Twixl Publisher Publication,doc
.DPD,Ovation Pro File,doc
.PZFX,GraphPad Prism XML Project,doc
.PDF-1,Renamed PDF File,doc
.PTX,E-Transcript File,doc
.PDG,Print Shop Deluxe Design File,doc
.BK,FrameMaker Book File,doc
.ENC,Copysafe Protected PDF File,doc
.PPP,Serif PagePlus Document,doc
.XDW,Fuji Xerox DocuWorks File,doc
.IMTX,iMindMap Template File,doc
.CH3,Harvard Graphics DOS Chart File,doc
.MAILSTATIONERY,Apple Mail Stationery File,doc
.WMGA,Web Manga Document,doc
.RB4,Resume Builder 4 File,doc
.EL4,Easy-PhotoPrint EX Calendar File,doc
.EDRWX,XPS Drawing Document,doc
.ISALETEMPLATE,iSale Template,doc
.CDOC,Clicker Document,doc
.LBL,dBASE Label File,doc
.GOFIN,DRUKI Gofin Form File,doc
.WEBTEMPLATE,iWeb Template,doc
.VP,Ventura Publication File,doc
.CDML,Creately Diagram File,doc
.IMM,iMindMap Map File,doc
.MGA,Manga Document,doc
.SUBLIME-SNIPPET,Sublime Text Snippet File,doc
.ICMT,InCopy Template,doc
.QPT,QuarkXPress Project Template,doc
.NUD,Now Up-To-Date Calendar File,doc
.INDS,Adobe InDesign Snippet File,doc
.MVDX,MindView Windows Document,doc
.CONSIS,Sciral Consistency Document,doc
.CPE,Fax Cover Page File,doc
.FGC,Greeting Card Factory Card File,doc
.BCP,Business Card Designer Plus File,doc
.FLOWCHART,PureFlow Flowchart,doc
.CLKC,Clicker Connect Set File,doc
.BRO,Design & Print Page Design File,doc
.DWDOC,DrawWell Document,doc
.SNP,Access Report Snapshot,doc
.CBF,Calendar Builder File,doc
.RPX,Report XML File,doc
.AFTEMPLATE,Affinity Template,doc
.OMP,OpenMind Windows Document,doc
